campaign_PK,product_PK,product_name,product_physicalreference,ordetail_created,Articulos_vendidos,buyers,visitas,visitors,precio_provedor,precio_privalia,CR,decil_visitors,decil_CR
341170,64161622,NAUTICA VOYAGE N-83 EAU DE TOILETTE 100 ML,938230-UNICO,27/10/2025,6,5,29,2,767.24,275.0012,2.5,1,10
341170,64160797,MONTBLANC LEGEND BLUE  EAU DE PARFUM 100 ML,1C7L027A01-UNICO,27/10/2025,2,2,13,1,2284.48,1137.9948,2,1,10
341170,64159822,GUESS LOVE SEDUCTIVE RED FOR WOMEN BODY SPRAY 250 ML,32243B-UNICO,27/10/2025,8,8,37,7,310.34,145,1.142857143,3,10
341170,64159624,PARIS HILTON CAN CAN EAU DE PARFUM 100 ML,151430376-UNICO,27/10/2025,1,1,5,1,1379.31,550.0024,1,1,10
343681,64184602,SET PARIS HILTON GOLD RUSH,2001400-UNICO,27/10/2025,1,1,5,1,1336.21,1008.0052,1,1,10
341170,64159813,GUESS LOVE NIRVANA DREAM BODY MIST 250 ML,32694-UNICO,27/10/2025,4,4,29,4,310.34,154.0016,1,1,10
341170,64158631,GLORIA VANDERBILT VANDERBILT EAU DE PARFUM 100 ML,72001-UNICO,27/10/2025,1,1,14,1,387.93,201.0048,1,1,10
342379,64183858,"JUEGO DE GORRO, BUFANDA Y GUANTES BLUELANDER",CBHH-0338-UNICO,27/10/2025,1,1,2,1,275,178.9996,1,1,10
342619,64101175,PLAYERA CALVIN KLEIN JEANS CORAL MAXIMONOGRAMA,CJ4T5624-BNL,27/10/2025,1,1,8,1,947.41,449.0012,1,1,10
341146,64084633,PERRY ELLIS 18 ORCHID EAU DE PARFUM 100 ML,04401276-UNICO,27/10/2025,1,1,5,1,1120.69,584.9996,1,1,10
341170,64160788,MONT BLANC LEGEND SPIRIT EAU DE TOILETTE 200 ML,MB013A07-UNICO,27/10/2025,1,1,11,1,2801.72,1232.0012,1,1,10
342619,64101760,BLUSA CALVIN KLEIN AZUL CIELO CORTE ASIMÉTRICO,M2EHV070-437,27/10/2025,1,1,2,1,1947.41,749.0004,1,1,10
341170,64159864,PARIS HILTON CAN CAN BURLESQUE BODY MIST 236 ML,2005540-UNICO,27/10/2025,2,2,17,2,232.76,182.004,1,1,10
341170,64159777,ARIANA GRANDE SWEET LIKE CANDY BODY SPRAY & MIST 236 ML,ARG2LB162BM-UNICO,27/10/2025,3,4,50,4,344.83,196.0052,1,2,10
343276,64141648,ESENCIAS AROMÁTICAS DE LAVANDA - RELAJACIÓN,PACK-LAVAN-UNICO,27/10/2025,1,1,5,1,171.55,88.9952,1,1,10
341170,64158499,DAVIDOFF COOL WATER EAU DE TOILETTE 100 ML,080038-UNICO,27/10/2025,0,1,21,1,1508.62,420.0012,1,1,10
342619,64103272,BRALETTE CALVIN KLEIN LIFT AZUL LOGO,QF1654-542,27/10/2025,1,1,2,1,1033.62,488.998,1,1,10
341170,64161592,JESÚS DEL POZO HALLOWEEN MAN ROCK ON EAU DE TOILETTE 125 ML,50251-UNICO,27/10/2025,1,1,13,1,1396.55,783.9976,1,1,10
341170,64161619,NAUTICA VOYAGE HERITAGE EAU DE TOILETTE 100 ML,68683-UNICO,27/10/2025,1,1,3,1,767.24,288.0048,1,1,10
341170,64160488,GIORGIO ARMANI ACQUA DI GIO MEN EAU DE TOILETTE 100 ML,205887-UNICO,27/10/2025,1,1,9,1,2318.97,1889.002,1,1,10
343681,64184794,JEAN PAUL GAULTIER SCANDAL LE PARFUM EAU DE PARFUM 100 ML,65182477-UNICO,27/10/2025,1,1,2,1,2758.62,2034.9996,1,1,10
342379,64183867,"JUEGO DE GORRO, BUFANDA Y GUANTES GRIS BLUELANDER",CBHH-0467-UNICO,27/10/2025,1,1,2,1,275,178.9996,1,1,10
341170,64159486,ELIZABETH TAYLOR DÍAMONDS AND EMERALDS EAU DE TOILETTE 100 ML,4505000-UNICO,27/10/2025,1,1,8,1,646.55,328.0016,1,1,10
341170,64159552,GUESS GIRL EAU DE TOILETTE 100 ML,MGUGI340101-UNICO,27/10/2025,3,3,34,3,1120.69,404.0048,1,1,10
343681,64184374,GUESS SEXY SKIN MARTINI BODY MIST 250 ML,32708-UNICO,27/10/2025,1,1,10,1,310.34,191.0056,1,1,10
